Smiles,conductivity,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA7,SMR_VSA1,SMR_VSA10,SMR_VSA7,SlogP_VSA2,SlogP_VSA6,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,HeavyAtomCount,NHOHCount,NOCount,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,MolLogP,MolMR,fr_benzene,conductivity_class
C(O)1=C([N+]([O-])=O)C(O)=C([N+]([O-])=O)C(O)=C1[N+]([O-])=O,0.78,10.46226002,10.46226002,1.454259259,-1.67537037,0.513522477,261.102,258.078,260.9869287,96,0.366399267,-0.497094022,0.497094022,0.366399267,0.611111111,0.777777778,0.888888889,16.64380313,10.15397895,2.425459455,-2.030457193,2.541692111,-1.993659013,5.804699373,-0.406679736,2.135213361,3.938405305,478.129275,14.19615242,8.132771316,8.132771316,8.196152423,3.937085902,3.937085902,2.862970142,2.862970142,1.893542951,1.893542951,1.19172045,1.19172045,-3.18,5167.216334,12.88747638,4.00313816,1.662822241,95.77303154,15.31958218,0,30.08951533,17.06215882,30.34295481,30.08951533,0,190.11,45.66253699,0,0,58.90155329,-4.899444444,-5.026111111,0,18,3,12,1,1,9,3,12,1,0.528,51.3996,1,Class_2
C(O)1=CC2C#CC3=CC(O)=C(O)C=C3C#CC3=C(C=C(O)C(O)=C3)C#CC=2C=C1O,2.40E-06,9.842101515,9.842101515,0.300368271,-0.381037461,0.200595045,396.354,384.258,396.0633881,144,0.158239217,-0.504229136,0.504229136,0.158239217,0.3,0.433333333,0.566666667,16.30996314,10.00505025,2.103735638,-2.051040331,2.310226101,-1.904603258,5.664388691,0.403120698,2.699849609,2.083526208,1142.244614,21.4134846,15.14738319,15.14738319,14.31257084,8.555742402,8.555742402,6.409518678,6.409518678,4.339660179,4.339660179,2.754985608,2.754985608,-4.86,5270041.641,18.5008473,6.945502844,3.355587229,170.4924918,30.63916437,0,30.63916437,0,69.77891136,30.63916437,36.39820241,121.38,30.63916437,34.497071,33.38070895,59.05260909,1.802209625,14.6514938,7.493687484,30,6,6,3,3,6,6,6,4,2.433,107.2548,3,Class_0
C(OCC)1=CC2C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C=2C=C1OCC,0.002,10.06370188,10.06370188,0.247226946,-0.266960252,0.30073196,380.396,360.236,380.1259884,144,0.161305067,-0.504244761,0.504244761,0.161305067,0.5,0.75,1,16.51837708,9.928102985,2.170789673,-2.163702056,2.454612113,-1.9849721,6.263512518,0.288270733,2.660510183,2.258042733,1132.799961,19.99927104,15.48366614,15.48366614,13.43909071,9.008340928,9.008340928,6.4835648,6.4835648,4.783509585,4.783509585,3.587209601,3.587209601,-3.54,2242567.978,17.85300812,6.564286565,2.6513388,160.3401906,29.89983549,82.5630221,29.89983549,32.31734529,36.39820241,33.63987351,36.39820241,99.38,20.42610958,22.99804733,46.25768445,44.27919702,0,0.097672047,9.496323854,28,4,6,4,4,6,4,6,4,4.766,107.9572,4,Class_1
C(OCCCC)1=CC2C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C=2C=C1OCCCC,0.0006,10.19272061,10.19272061,0.238079665,-0.259580404,0.146381578,436.504,408.28,436.1885886,168,0.161321226,-0.504244761,0.504244761,0.161321226,0.5,0.78125,1.0625,16.51907441,9.927979276,2.174700407,-2.172797296,2.455939535,-2.023142342,6.263553612,0.26233134,2.769757529,2.061995435,1194.709356,22.82769817,18.31209327,18.31209327,15.43909071,11.00834093,11.00834093,8.021569602,8.021569602,5.694740511,5.694740511,3.929131272,3.929131272,-3.54,16127802.3,21.68295782,8.906802076,3.883166073,185.7999591,29.89983549,81.55719094,29.89983549,32.31734529,36.39820241,33.63987351,36.39820241,99.38,20.42610958,22.99804733,46.25768445,44.85160385,0,0.223694937,9.703214072,32,4,6,4,4,6,4,6,4,6.3264,126.4252,4,Class_1
C(OCCCCCC)1=CC2C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C=2C=C1OCCCCCC,0.0004,10.28692376,10.28692376,0.232004678,-0.25449523,0.091153291,492.612,456.324,492.2511889,192,0.161321228,-0.504244761,0.504244761,0.161321228,0.444444444,0.75,1.055555556,16.51909083,9.927945801,2.176083497,-2.174904241,2.456486915,-2.029240693,6.263584598,0.25919516,2.860864146,1.875384035,1256.906159,25.65612529,21.14052039,21.14052039,17.43909071,13.00834093,13.00834093,9.435783164,9.435783164,6.694740511,6.694740511,4.698133673,4.698133673,-3.54,114308962.5,25.54985793,11.46367919,5.324883448,211.2597276,29.89983549,81.55719094,29.89983549,32.31734529,36.39820241,33.63987351,36.39820241,99.38,20.42610958,22.99804733,46.25768445,45.26005045,0,0.287565136,9.828761796,36,4,6,4,4,6,4,6,4,7.8868,144.8932,4,Class_1
C(OCCCCCCCCCCCCCCCCCC)1=CC2C3C=C(O)C(O)=CC=3C3C=C(O)C(O)=CC=3C=2C=C1OCCCCCCCCCCCCCCCCCC,1.00E-07,10.55730601,10.55730601,0.217028646,-0.241257336,0.020700751,829.26,744.588,828.6267904,336,0.161321228,-0.504244761,0.504244761,0.161321228,0.266666667,0.45,0.666666667,16.51914174,9.927931191,2.179505086,-2.17557297,2.458544812,-2.030578406,6.263768505,0.258698797,3.241842833,1.254308524,1636.772538,42.62668804,38.11108314,38.11108314,29.43909071,25.00834093,25.00834093,17.92106454,17.92106454,12.69474051,12.69474051,8.94077436,8.94077436,-3.54,1.34327E+13,49.11914454,29.668055,17.44374235,364.0183383,29.89983549,81.55719094,29.89983549,32.31734529,36.39820241,33.63987351,36.39820241,99.38,20.42610958,22.99804733,35.48523602,46.40885992,0,0.409664186,10.11364431,60,4,6,4,4,6,4,6,4,17.2492,255.7012,4,Class_0
C(S)1=C(S)C(O)=C(S)C(S)=C1O,0.2,9.330740741,9.330740741,0.130123457,-0.130123457,0.309985038,238.38,232.332,237.9250634,66,0.144208977,-0.505527042,0.505527042,0.144208977,0.583333333,0.75,0.916666667,32.12234409,10.28865114,2.149075778,-2.091780104,2.444970668,-1.814162285,7.845580759,0.410927145,2.081571824,3.603567451,231.8128652,9.464101615,5.683281573,9.260990337,5.464101615,2.841640786,4.630495168,2.091640786,3.880495168,1.345820393,3.440247584,0.672910197,1.720123792,0.22,416.3143648,10.30183306,3.53018856,1.481032062,91.64013728,10.21305479,0,10.21305479,50.51515659,0,10.21305479,19.5819339,40.46,10.21305479,31.08095757,0,18.66148148,0,-0.260246914,0,12,2,2,1,1,6,6,6,1,2.2526,58.7796,1,Class_2
C(S)1=C(S)C=C2C3C4C=C(S)C(S)=CC=4C(C4C=C(S)C(S)=CC3=4)C2=C1,4.30E-07,4.608623884,4.608623884,0.138425926,0.138425926,0.145608355,446.734,432.622,445.9419764,130,0.034996213,-0.14227992,0.14227992,0.034996213,0.346153846,0.5,0.653846154,32.12447511,9.6094874,2.418944949,-2.427715532,2.576121326,-2.276304974,7.838124849,0.731098729,2.58067081,1.907593533,889.5568602,18.32554446,13.30208373,18.66864687,12.3630811,8.037793209,10.72107478,6.775544081,9.666378206,5.406647477,8.155840815,4.332592969,5.554403234,-0.24,1010779.078,17.83122933,6.127945254,2.390155144,185.1942134,0,69.77891136,0,75.77273489,69.77891136,0,65.77110326,0,0,11.83581209,0,0,7.733862434,0.276851852,12.93999811,26,0,0,3,3,6,6,6,6,6.406,124.728,3,Class_0
C1(=C(C(=C(C(=C1N)N)N)N)N)N,13,5.486851852,5.486851852,0.179814815,0.179814815,0.277734269,168.204,156.108,168.1123444,66,0.082530878,-0.395254925,0.395254925,0.082530878,0.333333333,0.416666667,0.5,14.85093307,10.12205157,2.120761544,-2.126319832,2.393602351,-2.100569729,6.019830862,1.612554544,2.081571824,3.603567451,226.3030902,9.464101615,6.464101615,6.464101615,5.464101615,3.232050808,3.232050808,2.482050808,2.482050808,1.741025404,1.741025404,0.870512702,0.870512702,-1.98,416.3143648,8.119800399,2.260633977,0.815105762,69.4707473,34.40200486,0,0,34.12431765,0,0,0,156.12,0,34.12431765,0,0,34,0,0,12,12,6,1,1,6,6,6,1,-0.8202,52.9164,1,Class_2
C1(=C(C(=C(C(=C1O)O)O)O)O)O,3.07E-06,8.761296296,8.761296296,1.09462963,-1.09462963,0.241447615,174.108,168.06,174.0164379,66,0.208072258,-0.501506811,0.501506811,0.208072258,0.333333333,0.416666667,0.5,16.37433334,10.20667981,2.216372767,-2.063328389,2.537614999,-1.765028551,5.696488959,0.302581234,2.081571824,3.603567451,226.3030902,9.464101615,5.683281573,5.683281573,5.464101615,2.841640786,2.841640786,2.091640786,2.091640786,1.345820393,1.345820393,0.672910197,0.672910197,-1.98,416.3143648,8.119800399,2.260633977,0.815105762,66.19680563,30.63916437,0,30.63916437,0,0,30.63916437,0,121.38,0,0,0,52.56777778,0,-6.567777778,0,12,6,6,1,1,6,6,6,1,-0.0798,36.4308,1,Class_0
